total_length_cm,body_depth_cm,body_width_cm,head_length_cm,eye_diameter_mm,weight_gr,species
11.4,2.5,1.3,3.2,4.0,10.5,Mezgit
14.6,2.4,1.1,3.3,3.7,17.4,Hamsi
23.8,5.7,2.4,5.9,6.5,144.9,Tekir
11.4,2.5,1.0,2.7,3.7,12.8,İstavrit
9.6,1.8,0.8,2.2,2.7,5.9,Sardalya
15.3,3.0,1.4,3.9,4.7,33.9,İstavrit
41.4,1.8,1.1,12.2,8.6,104.6,Zargana
15.1,3.3,1.6,3.8,4.6,29.2,Sardalya
6.8,1.0,0.5,1.5,2.0,1.5,Hamsi
14.4,2.3,1.1,3.0,3.3,20.1,Hamsi
25.6,5.7,2.8,5.6,5.3,261.0,Palamut
20.1,4.8,2.0,5.0,5.4,63.8,Lüfer
9.4,3.2,1.0,2.5,3.0,9.1,İzmarit
8.6,1.2,0.5,1.7,1.7,3.9,Hamsi
15.9,3.6,1.5,3.6,4.2,30.2,Sardalya
23.9,5.3,2.5,6.3,5.7,113.9,Tekir
12.5,1.9,0.8,2.7,3.0,12.5,Hamsi
16.6,2.5,1.2,3.7,4.4,29.1,Hamsi
9.9,1.7,0.8,2.0,2.5,7.3,Sardalya
8.4,1.0,0.4,1.9,2.1,3.4,Hamsi
16.4,3.8,1.7,4.1,5.2,31.2,İstavrit
21.4,4.5,2.1,5.2,7.3,82.1,İstavrit
15.2,3.3,1.5,3.4,4.2,26.6,Sardalya
18.2,4.0,2.0,4.0,5.0,44.2,Sardalya
10.3,2.9,1.1,2.8,2.6,11.5,İzmarit
24.0,4.6,1.7,6.4,8.1,104.1,Mezgit
18.0,5.4,1.8,4.7,5.3,64.4,İzmarit
7.9,1.7,0.8,1.9,2.3,3.9,İstavrit
8.3,1.5,0.6,2.0,2.5,4.9,İstavrit
19.9,4.9,2.2,4.8,4.5,74.4,Tekir
9.8,1.8,0.7,2.2,2.9,6.7,Sardalya
22.1,7.4,2.4,5.9,6.9,114.0,İzmarit
11.3,2.4,1.1,2.5,3.3,11.1,İstavrit
27.1,6.6,3.4,6.4,5.9,249.3,Palamut
15.1,3.0,1.4,3.2,3.9,24.9,Sardalya
21.7,4.6,2.0,4.9,5.9,89.6,İstavrit
15.4,3.6,1.5,3.7,4.7,30.6,İstavrit
17.1,3.3,1.4,3.8,4.4,39.2,Sardalya
7.1,1.4,0.6,1.6,1.8,2.1,Sardalya
12.4,2.5,1.1,2.9,3.7,14.1,İstavrit
18.3,3.5,1.5,3.8,4.5,53.2,Sardalya
19.5,4.7,2.4,5.1,5.5,71.2,Tekir
19.7,3.6,1.7,4.4,5.8,56.2,Sardalya
17.5,3.9,1.8,4.2,4.9,47.0,İstavrit
11.5,2.4,1.1,2.8,3.3,11.0,İstavrit
9.2,1.8,0.8,2.2,2.9,5.6,Sardalya
10.8,3.3,1.3,3.2,3.5,14.5,İzmarit
8.7,1.7,0.8,2.0,2.5,5.2,İstavrit
18.4,3.6,1.7,4.0,4.9,43.0,Sardalya
10.1,2.2,1.0,2.3,3.0,7.1,Sardalya
12.5,2.5,1.2,3.2,3.8,14.0,İstavrit
13.6,1.9,0.9,2.9,3.8,13.6,Hamsi
21.3,4.3,2.0,4.9,6.1,72.1,Sardalya
21.3,4.6,2.1,5.0,5.9,87.3,İstavrit
15.5,2.2,0.9,3.4,3.9,25.9,Hamsi
18.2,3.6,1.8,4.4,5.1,50.2,İstavrit
17.4,3.9,1.7,4.3,5.6,44.4,İstavrit
56.6,2.7,1.5,17.4,12.9,277.5,Zargana
6.1,0.8,0.4,1.4,1.5,1.3,Hamsi
7.3,2.2,0.8,2.1,2.3,4.3,İzmarit
7.8,1.1,0.5,1.7,1.7,3.0,Hamsi
8.6,1.2,0.6,1.9,2.2,4.0,Hamsi
35.7,8.5,3.9,8.6,8.3,351.0,Lüfer
11.7,2.5,1.2,2.8,3.7,13.8,İstavrit
8.5,1.1,0.5,1.8,2.2,3.5,Hamsi
27.7,23.0,2.3,6.7,4.9,453.7,Kalkan
8.4,1.1,0.5,1.8,1.9,3.0,Hamsi
12.1,2.5,1.1,3.0,4.1,15.3,İstavrit
26.4,4.6,1.9,6.9,8.6,129.3,Mezgit
13.2,2.0,0.8,2.9,3.7,12.9,Hamsi
20.8,6.2,2.3,5.1,6.5,87.5,İzmarit
43.0,2.5,1.4,12.9,9.9,125.4,Zargana
